@relation subject101-cleaned-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst

@attribute activityID {1,2,3,4,5,6,7,12,13,16,17,24}
@attribute accelX numeric
@attribute accelY numeric
@attribute accelZ numeric
@attribute gyroX numeric
@attribute gyroY numeric
@attribute gyroZ numeric
@attribute magnetX numeric
@attribute magnetY numeric
@attribute magnetZ numeric

@data
1,2.30106,7.25857,6.09259,-0.069961,-0.018328,0.004582,9.15626,-67.1825,-20.0857
1,2.24615,7.4818,5.55219,-0.431227,0.002685,-0.062964,9.14612,-67.3936,-20.5508
1,2.3,7.10681,6.09309,0.075692,-0.030792,0.005246,9.69163,-67.0898,-21.2481
1,2.49455,7.52335,6.17157,-0.259058,-0.267895,-0.038533,9.58694,-67.0882,-20.8997
1,2.71654,8.30596,4.78671,0.377115,-0.023688,-0.02067,8.59622,-67.1486,-20.1947
1,2.54954,7.63122,5.55623,-0.487667,-0.019958,-0.0895,9.00159,-66.0543,-22.5021
1,2.82407,6.1449,5.06502,-0.781563,0.198873,-0.213285,10.5845,-63.7955,-27.5879
1,2.73626,7.94195,6.52017,-0.472414,0.279868,0.036527,12.2658,-64.6618,-27.0379
1,2.38894,7.4883,6.40103,0.358279,1.04661,0.346204,12.1033,-62.2186,-30.1344
1,1.8132,6.85639,7.35672,0.360442,1.2873,0.129226,14.9204,-62.7273,-28.6676
1,0.012525,5.2733,6.95022,0.440524,1.19843,0.100664,16.6466,-63.2981,-25.9161
1,-0.530751,7.62191,6.04895,0.179548,1.05112,0.231209,18.111,-64.9924,-19.2388
1,-1.65419,7.6992,5.22362,1.51583,0.836144,0.283502,18.1058,-65.8251,-13.6928
1,-1.09215,7.20128,5.19524,1.22541,0.656149,0.190338,17.0806,-68.1161,-8.61366
1,-1.95669,7.61597,4.14173,1.09275,0.672901,0.275213,16.3628,-67.5333,0.080493
1,-2.21539,10.3463,3.74377,1.16343,0.575842,-0.071263,16.1651,-67.1744,6.91462
1,-2.15746,10.3034,3.24444,-0.030377,0.646188,0.477773,13.2459,-66.3019,11.4709
1,-1.21857,8.51464,3.45698,-0.43637,0.737053,0.394351,7.77774,-66.9662,11.6421
